City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,sydney,-33.8679,151.2073,75.88,79,100,3.0,AU,1731377416
219,phon charoen,18.0333,103.1667,82.78,66,100,3.31,TH,1731377417
220,lhokseumawe,5.1801,97.1507,77.56,89,100,9.69,ID,1731377420
221,san juan,-31.5375,-68.5364,69.76,24,0,8.52,AR,1731377421
222,porto novo,6.4965,2.6036,77.23,88,61,1.03,BJ,1731377422
223,palembang,-2.9167,104.7458,80.69,94,40,2.3,ID,1731377165
224,alaghsas,17.0187,8.0168,68.18,25,0,11.34,NE,1731377425
225,khuzdar,27.7384,66.6434,54.28,35,3,4.76,PK,1731377426
226,hithadhoo,-0.6,73.0833,83.32,73,95,15.32,MV,1731377427
227,domna,51.8971,113.1573,3.36,85,75,0.0,RU,1731377429
228,ji'an,27.1172,114.9793,70.7,65,0,5.86,CN,1731377430
229,cabo san lucas,22.8909,-109.9124,77.31,60,20,4.61,MX,1731377430
230,balsas,-7.5325,-46.0356,72.81,93,100,2.51,BR,1731377433
231,nochistlan de mejia,21.3667,-102.85,67.05,31,2,5.97,MX,1731377435
232,fale old settlement,-9.3852,-171.2468,83.95,67,4,12.21,TK,1731377436
233,anta,25.15,76.3,71.29,44,0,3.06,IN,1731377437
234,walvis bay,-22.9575,14.5053,55.99,92,0,7.27,NA,1731377438
235,whitehorse,60.7161,-135.0538,27.37,93,100,2.3,CA,1731377376
236,karratha,-20.7377,116.8463,95.52,23,36,10.45,AU,1731377441
237,tandag,9.0783,126.1986,86.22,64,74,5.41,PH,1731377156
238,okondja,-0.6549,13.6753,70.56,98,15,1.03,GA,1731377443
239,nago,26.5881,127.9761,78.66,80,100,11.14,JP,1731377444
240,sao joao da barra,-21.6403,-41.0511,73.85,84,0,15.19,BR,1731377446
241,choma,-16.8065,26.9531,65.68,83,100,0.63,ZM,1731377447
242,happy valley-goose bay,53.3168,-60.3315,30.02,92,100,2.44,CA,1731377448
243,kilindoni,-7.9139,39.6668,79.97,83,41,8.01,TZ,1731377449
244,prince albert,53.2001,-105.7677,36.03,68,98,14.56,CA,1731377450
245,mil'kovo,55.6078,37.7956,34.34,58,65,4.79,RU,1731377452
246,qarqaraly,49.4058,75.4742,0.97,99,100,4.97,KZ,1731377453
247,graaff-reinet,-32.2522,24.5308,51.93,91,20,2.28,ZA,1731377454
248,pisco,-13.7,-76.2167,64.45,82,0,12.66,PE,1731377455
249,swan hill,-35.3378,143.5544,83.73,28,91,1.77,AU,1731377457
250,aripuana,-9.1667,-60.6333,74.05,90,56,2.35,BR,1731377458
251,ascencion de guarayos,-15.8963,-63.1881,74.68,91,29,3.4,BO,1731377459
